Entity,Code,Year,"Deaths per 100,000 people - Drought (decadal)","Deaths per 100,000 people - Flood (decadal)","Deaths per 100,000 people - Earthquake (decadal)","Deaths per 100,000 people - Extreme weather (decadal)","Deaths per 100,000 people - Extreme temperature (decadal)","Deaths per 100,000 people - Volcanic activity (decadal)","Deaths per 100,000 people - Wildfire (decadal)","Deaths per 100,000 people - Glacial lake outburst flood (decadal)","Deaths per 100,000 people - Dry mass movement (decadal)","Deaths per 100,000 people - Wet mass movement (decadal)","Deaths per 100,000 people - Fog (decadal)"
Afghanistan,AFG,2020,0,0.5124271,1.6779146,0.006671416,0.09473784,0,0,0,0,0.04203248,0
Africa,,2020,0.03455438,0.11416771,0.040342845,0.19733153,0,0.000459217,0.00237394,0,0,0.003724861,0
Albania,ALB,2020,0,0,0,0,2.4768517,0,0,0,0,0,0
Algeria,DZA,2020,0,0.009393561,0,0,0,0,0.07525216,0,0,0,0
American Samoa,ASM,2020,0,0,0,0,0,0,0,0,0,0,0
Angola,AGO,2020,0,0.07948872,0,0,0,0,0,0,0,0,0
Anguilla,AIA,2020,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,2020,0,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,2020,0.002655088,0.001332267,0,0.006988192,0,0,0.006625912,0,0,0,0
Armenia,ARM,2020,0,0,0,0,0,0,0,0,0,0,0
Asia,,2020,0,0.06686191,0.2598692,0.014163931,0.002228783,0.000403651,0.000229511,0.001814528,0,0.005163184,0
Australia,AUS,2020,0,0.029093096,0,0.008336122,0,0,0.008570299,0,0,0,0
Austria,AUT,2020,0,0.002241628,0,0,0.93740034,0,0,0,0,0.017859213,0
Azerbaijan,AZE,2020,0,0,0,0,0,0,0,0,0,0,0
Bahamas,BHS,2020,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,2020,0,0.05011686,0,0.009399536,0,0,0,0,0,0,0
Barbados,BRB,2020,0,0,0,0,0,0,0,0,0,0,0
Belarus,BLR,2020,0,0,0,0,0,0,0,0,0,0,0
Belgium,BEL,2020,0,0.06717527,0,0.006854588,3.771918,0,0,0,0,0,0
Belize,BLZ,2020,0,0,0,0,0,0,0,0,0,0,0
Benin,BEN,2020,0,0.09539956,0,0,0,0,0,0,0,0,0
Bermuda,BMU,2020,0,0,0,0,0,0,0,0,0,0,0
Bhutan,BTN,2020,0,0.25723472,0,0,0,0,0,0,0,0,0
Bolivia,BOL,2020,0,0.259955,0,0,0,0,0.027750585,0,0,0,0
Bosnia and Herzegovina,BIH,2020,0,0.006185191,0.006185191,0.006228871,0,0,0,0,0,0,0
Botswana,BWA,2020,0,0,0,0,0,0,0,0,0,0,0
Brazil,BRA,2020,0,0.08559537,0,0.005836664,0,0,0,0,0,0,0
British Virgin Islands,VGB,2020,0,0,0,0,0,0,0,0,0,0,0
Brunei,BRN,2020,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,BGR,2020,0,0.01196223,0,0.01196223,3.7658758,0,0,0,0,0,0
Burkina Faso,BFA,2020,0,0.012080307,0,0,0,0,0,0,0,0,0
Burundi,BDI,2020,0,0.0366354,0,0.003273261,0,0,0,0,0,0,0
Cambodia,KHM,2020,0,0.017891381,0,0.07395855,0,0,0,0,0,0,0
Cameroon,CMR,2020,0,0.001432945,0,0,0,0,0,0,0,0.032462925,0
Canada,CAN,2020,0,0.005718848,0,0.009365835,0.42823613,0,0.00207978,0,0,0,0
Cape Verde,CPV,2020,0,0.03432616,0,0,0,0,0,0,0,0,0
Cayman Islands,CYM,2020,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,CAF,2020,0,0.05735643,0,0,0,0,0,0,0,0,0
Chad,TCD,2020,0,0.06568398,0,0,0,0,0,0,0,0,0
Chile,CHL,2020,0,0.007132091,0,0,0,0,0.46803084,0,0,0,0
China,CHN,2020,0,0.014914148,0.004096095,0.002342775,0,0,0.000322813,0,0,0.001346949,0
Colombia,COL,2020,0,0.050739672,0,0.009031888,0,0,0,0,0,0.05488474,0
Comoros,COM,2020,0,0,0,0,0,0,0,0,0,0,0
Republic of the Congo,COG,2020,0,0.20756885,0,0,0,0,0,0,0,0,0
Cook Islands,COK,2020,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,CRI,2020,0,0.011641536,0,0,0,0,0,0,0,0,0
Ivory Coast,CIV,2020,0,0.027135346,0,0,0,0,0,0,0,0,0
Croatia,HRV,2020,0,0,0.04393596,0.004989254,3.6274667,0,0,0,0,0,0
Cuba,CUB,2020,0,0.016070915,0,0.01070263,0,0,0,0,0,0,0
Cyprus,CYP,2020,0,0,0,0,1.6140734,0,0.064298704,0,0,0,0
Czechia,CZE,2020,0,0,0,0.015221901,0.5317329,0,0,0,0,0,0
Czechoslovakia,OWID_CZS,2020,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,COD,2020,0,0.6523852,0,0.000378698,0,0.006674028,0,0,0,0.014081365,0
Denmark,DNK,2020,0,0,0,0.003400054,0.85681367,0,0,0,0,0,0
Djibouti,DJI,2020,0,0.14676718,0,0,0,0,0,0,0,0,0
Dominica,DMA,2020,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,DOM,2020,0,0.061766688,0,0.02336378,0,0,0,0,0,0,0
East Germany,OWID_GDR,2020,0,0,0,0,0,0,0,0,0,0,0
East Timor,TLS,2020,0,0.046153918,0,0.6207682,0,0,0,0,0,0,0
Ecuador,ECU,2020,0,0.1306962,0.016503707,0,0,0,0,0,0,0.082460664,0
Egypt,EGY,2020,0,0.007993413,0,0,0,0,0,0,0,0,0
El Salvador,SLV,2020,0,0.015837407,0,0.14902957,0,0,0,0,0,0.13348728,0
Eritrea,ERI,2020,0,0,0,0,0,0,0,0,0,0,0
Estonia,EST,2020,0,0,0,0,2.518732,0,0,0,0,0,0
eSwatini,SWZ,2020,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,ETH,2020,0,0.028576743,0,0,0,0,0,0,0,0.003754557,0
Europe,,2020,0,0.008631892,0.000347976,0.005261041,1.8334265,2.6794647e-05,0.002309416,0.000295379,0,0.001582236,0
European Union (27),,2020,0,0.013779326,0.000538998,0.006224358,2.7267768,4.493865e-05,0.001428442,0.000491822,0,0.001072237,0
Fiji,FJI,2020,0,0,0,0.32512626,0,0,0,0,0,0,0
Finland,FIN,2020,0,0,0,0,0.81216514,0,0,0,0,0,0
France,FRA,2020,0,0.001856705,0,0.010523661,2.084396,0,0,0,0,0,0
French Guiana,GUF,2020,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,PYF,2020,0,0,0,0,0,0,0,0,0,0,0
Gabon,GAB,2020,0,0,0,0,0,0,0,0,0,0,0
Gambia,GMB,2020,0,0.04434598,0,0.07575981,0,0,0,0,0,0,0
Georgia,GEO,2020,0,0,0,0,0,0,0,0,0,0.09655932,0
Germany,DEU,2020,0,0.04723736,0,0.002879494,1.960661,0,0,0,0,0,0
Ghana,GHA,2020,0,0.014521815,0,0,0,0,0,0,0,0,0
Greece,GRC,2020,0,0.04809832,0.005719815,0,5.9547586,0,0.048311386,0,0,0,0
Grenada,GRD,2020,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,GLP,2020,0,0,0,0.05053542,0,0,0,0,0,0,0
Guam,GUM,2020,0,0,0,0.23126334,0,0,0,0,0,0,0
Guatemala,GTM,2020,0,0.14575301,0.003362491,0.19339386,0,0,0,0,0,0.09506952,0
Guinea,GIN,2020,0,0.018665003,0,0,0,0,0,0,0,0,0
Guinea-Bissau,GNB,2020,0,0,0,0,0,0,0,0,0,0,0
Guyana,GUY,2020,0,0,0,0,0,0,0,0,0,0,0
Haiti,HTI,2020,0,0.16077764,4.502222,0.06898501,0,0,0,0,0,0,0
High-income countries,,2020,0.006981712,0.012034413,0.00530156,0.027179075,1.098528,1.639903e-05,0.011115146,0.000179721,0,0.001293732,0
